2026-08-02T17:40:35.129Z GET /api/status 200 OK
2026-08-12T08:51:53.354Z | INFO | API | BACKUP_STATUS | METHOD=GET | PATH=/api/backup | STATUS=200 | DETAILS={"latestBackup":"sentinel-backup-checkpoint.txt","latestBackupTime":1786468843037}
2026-08-12T08:52:15.372Z | INFO | API | BACKUP_STATUS | METHOD=GET | PATH=/api/backup | STATUS=200 | DETAILS={"latestBackup":"sentinel-backup-checkpoint.txt","latestBackupTime":1786468843037}
2026-08-12T08:52:19.984Z | INFO | API | API_REQUEST_SUCCESS | METHOD=GET | PATH=/api/database | STATUS=200 | DETAILS={"database":"CockroachDB","targets":1}
2026-08-12T08:52:22.222Z | INFO | API | API_REQUEST_SUCCESS | METHOD=GET | PATH=/api/database | STATUS=200 | DETAILS={"database":"CockroachDB","targets":1}
2026-08-12T09:04:43.573Z | INFO | API | BACKUP_STATUS | METHOD=GET | PATH=/api/backup | STATUS=200 | DETAILS={"latestBackup":"sentinel-backup-checkpoint.txt","latestBackupTime":1786468843037}
2026-08-12T09:04:45.754Z | INFO | API | API_REQUEST_SUCCESS | METHOD=GET | PATH=/api/database | STATUS=200 | DETAILS={"database":"CockroachDB","targets":1}
2026-08-12T13:20:04.955Z | INFO | API | BACKUP_STATUS | METHOD=GET | PATH=/api/backup | STATUS=200 | DETAILS={"latestBackup":"sentinel-backup-checkpoint.txt","latestBackupTime":1786468843037}
2026-08-12T13:20:07.790Z | INFO | API | API_REQUEST_SUCCESS | METHOD=GET | PATH=/api/database | STATUS=200 | DETAILS={"database":"CockroachDB","targets":1}
2026-08-12T13:20:10.168Z | INFO | API | BACKUP_STATUS | METHOD=GET | PATH=/api/backup | STATUS=200 | DETAILS={"latestBackup":"sentinel-backup-checkpoint.txt","latestBackupTime":1786468843037}
2026-08-12T13:20:10.261Z | INFO | API | API_REQUEST_SUCCESS | METHOD=GET | PATH=/api/database | STATUS=200 | DETAILS={"database":"CockroachDB","targets":1}
2026-08-12T17:45:54.557Z | INFO | API | BACKUP_STATUS | METHOD=GET | PATH=/api/backup | STATUS=200 | DETAILS={"latestBackup":"sentinel-backup-checkpoint.txt","latestBackupTime":1786468843037}
2026-08-12T17:45:58.591Z | INFO | API | BACKUP_STATUS | METHOD=GET | PATH=/api/backup | STATUS=200 | DETAILS={"latestBackup":"sentinel-backup-checkpoint.txt","latestBackupTime":1786468843037}
2026-08-12T17:45:59.821Z | INFO | API | API_REQUEST_SUCCESS | METHOD=GET | PATH=/api/database | STATUS=200 | DETAILS={"database":"CockroachDB","targets":1}
2026-08-12T17:45:59.822Z | INFO | API | API_REQUEST_SUCCESS | METHOD=GET | PATH=/api/database | STATUS=200 | DETAILS={"database":"CockroachDB","targets":1}
